"question" --> "answer"
"If a shirt originally priced at $40 is marked down by 25%, how much is the discount?" --> "The discount is $10.",
"Water flows through a pipe with a diameter of 4 cm at a speed of 3 m/s. What is the flow rate in liters per second?" --> "The flow rate is approximately 3.77 liters per second."
"If a triangle has a base of 10 cm and a height of 12 cm, what is its area?" --> "The area is 60 cm^2.",
"A bicycle travels a distance of 15 kilometers in 30 minutes. What is its average speed in kilometers per hour?" --> "The average speed is 30 km/h.",
"When 10 grams of calcium reacts with water, it produces 20 grams of calcium hydroxide. How many grams of water reacted with the calcium?" --> "10 grams of water reacted.",
"In an RC circuit, if the resistance is 10 ohms and the capacitive reactance is 5 ohms, what is the total impedance?" --> "The impedance is approximately 11.18 ohms.",
"If a sphere has a radius of 3 cm, what is its volume?" --> "The volume is approximately 113.1 cm^3.",
"A pair of shoes originally priced at $80 is on sale for 30% off. How much is the sale price?" --> "The sale price is $56.",
"A reservoir has an area of 10 km^2 and an average depth of 5 meters. What is the volume of water it can hold in cubic meters?" --> "The volume is 50 million cubic meters."
"If two sides of a right triangle are 6 cm and 8 cm, what is the length of the hypotenuse?" --> "The hypotenuse is 10 cm.",
"A train covers a distance of 480 kilometers in 4 hours. What is its average speed?" --> "The average speed is 120 km/h.",
"If 14 grams of nitrogen reacts with 3 grams of hydrogen, how many grams of ammonia are produced?" --> "17 grams of ammonia are produced.",
"In an RL circuit, if the resistance is 8 ohms and the inductive reactance is 6 ohms, what is the total impedance?" --> "The impedance is approximately 10 ohms.",
"A cone has a base radius of 4 cm and a height of 9 cm. What is its volume?" --> "The volume is approximately 150.8 cm^3.",
"A book originally priced at $25 is on sale with a 20% discount. How much is the discounted price?" --> "The discounted price is $20.",
"A pond has an area of 5 km^2 and an average depth of 3 meters. What is the volume of water it can hold in cubic meters?" --> "The volume is 15 million cubic meters."
"If a square has a side length of 8 cm, what is its area?" --> "The area is 64 cm^2.",
"A ship sails 360 nautical miles in 15 hours. What is its average speed in knots?" --> "The average speed is 24 knots.",
"When 32 grams of sulfur reacts with 64 grams of oxygen, how many grams of sulfur dioxide are produced?" --> "96 grams of sulfur dioxide are produced.",
"In an LC circuit with a capacitive reactance of 4 ohms and an inductive reactance of 5 ohms, what is the net reactance?" --> "The net reactance is 1 ohm.",
"A pyramid has a base area of 40 cm^2 and a height of 12 cm. What is its volume?" --> "The volume is approximately 160 cm^3.",
"A video game originally priced at $60 is on sale with a 30% discount. How much will it cost after the discount?" --> "The game will cost $42 after the discount.",
"A swimming pool has a length of 25 meters, a width of 10 meters, and a depth of 2 meters. What is its volume in liters?" --> "The volume is 500,000 liters."
"If a parallelogram has a base of 15 cm and a height of 10 cm, what is its area?" --> "The area is 150 cm^2.",
"A jet travels 2,400 kilometers in 2 hours. What is its average speed in km/h?" --> "The average speed is 1,200 km/h.",
"If 56 grams of iron reacts with 32 grams of sulfur, how many grams of iron(II) sulfide are formed?" --> "88 grams of iron(II) sulfide are formed.",
"For a capacitor in a DC circuit with a resistance of 10 ohms and a capacitive reactance of 5 ohms, what is the net resistance?" --> "The net resistance is 10 ohms as capacitive reactance doesn't affect DC circuits.",
"If a hexagon has a side length of 6 cm, what is the perimeter?" --> "The perimeter is 36 cm.",
"A toy originally priced at $15 is marked down by 10%. How much is the discount in dollars?" --> "The discount is $1.50.",
"A rectangular fish tank has a length of 30 cm, a width of 20 cm, and a height of 25 cm. How much water can it hold in liters?" --> "The fish tank can hold 150 liters of water."
"If an equilateral triangle has a side length of 12 cm, what is its height?" --> "The height is approximately 10.39 cm.",
"A plane covers a distance of 1,500 miles in 3 hours. What is its average speed in mph?" --> "The average speed is 500 mph.",
"If 28 grams of sodium reacts with 35.5 grams of chlorine, how many grams of sodium chloride are formed?" --> "63.5 grams of sodium chloride are formed.",
"In an RL circuit with a resistance of 15 ohms and an inductive reactance of 20 ohms, what is the total impedance?" --> "The impedance is approximately 25 ohms.",
"If a pentagon has a side length of 7 cm, what is its perimeter?" --> "The perimeter is 35 cm.",
"A camera originally priced at $300 is on sale with a 25% discount. How much is the sale price?" --> "The sale price is $225.",
"A cylindrical water tank has a diameter of 14 m and a height of 10 m. What is its volume in cubic meters?" --> "The volume is approximately 1,539.6 m^3."
"If a trapezoid has bases of 8 cm and 14 cm, and a height of 5 cm, what is its area?" --> "The area is 55 cm^2.",
"A car covers a distance of 650 miles in 13 hours. What is its average speed in mph?" --> "The average speed is 50 mph.",
"If 2 grams of hydrogen reacts with 16 grams of oxygen, how many grams of water are produced?" --> "18 grams of water are produced.",
"In an RC circuit with a resistance of 20 ohms and a capacitive reactance of 10 ohms, what is the total impedance?" --> "The impedance is approximately 22.36 ohms.",
"If a rhombus has diagonals of lengths 10 cm and 24 cm, what is its area?" --> "The area is 120 cm^2.",
"A television originally priced at $800 is marked down by 15%. How much will it cost after the discount?" --> "The television will cost $680 after the discount.",
"A rectangular prism has a length of 8 m, a width of 6 m, and a height of 5 m. What is its volume in cubic meters?" --> "The volume is 240 m^3."
"If a circle has a diameter of 20 cm, what is its circumference?" --> "The circumference is approximately 62.83 cm.",
"A bus travels a distance of 350 kilometers in 7 hours. What is its average speed in km/h?" --> "The average speed is 50 km/h.",
"If 20 grams of magnesium reacts with 32 grams of oxygen, how many grams of magnesium oxide are produced?" --> "52 grams of magnesium oxide are produced.",
"For a transformer, if the primary coil has 400 turns and the secondary coil has 800 turns, and the input voltage is 110 V, what is the output voltage?" --> "The output voltage is 220 V.",
"If an octagon has a side length of 8 cm, what is its perimeter?" --> "The perimeter is 64 cm.",
"A laptop originally priced at $1,000 is on sale with a 20% discount. How much is the sale price?" --> "The sale price is $800.",
"A spherical ball has a radius of 7 m. What is its volume in cubic meters?" --> "The volume is approximately 1436.76 m^3."
"If an ellipse has a major axis of 10 cm and a minor axis of 6 cm, what is its area?" --> "The area is approximately 47.12 cm^2.",
"A boat travels a distance of 220 kilometers downstream in 5 hours. What is its average speed in km/h?" --> "The average speed is 44 km/h.",
"If 40 grams of calcium carbonate decomposes upon heating, it produces 20 grams of calcium oxide. How many grams of carbon dioxide were released?" --> "20 grams of carbon dioxide were released.",
"In a series RLC circuit with a resistance of 8 ohms, inductive reactance of 6 ohms, and capacitive reactance of 4 ohms, what is the net reactance and impedance?" --> "The net reactance is 2 ohms and the impedance is approximately 8.25 ohms.",
"If a regular hexagon has a side length of 5 cm, what is its area?" --> "The area is approximately 64.95 cm^2.",
"A tablet originally priced at $150 is marked down by 10%. How much is the discount?" --> "The discount is $15.",
"A conical flask has a base radius of 5 cm and a height of 12 cm. What is its volume in cubic centimeters?" --> "The volume is approximately 314.16 cm^3."
"If a kite has diagonals of 12 cm and 20 cm, what is its area?" --> "The area is 120 cm^2.",
"A motorbike travels a distance of 180 kilometers on a full tank of 6 liters. How many kilometers per liter does it average?" --> "It averages 30 km/l.",
"If 23 grams of sodium reacts with chlorine, it produces 58 grams of sodium chloride. How many grams of chlorine reacted?" --> "35 grams of chlorine reacted.",
"In a parallel RLC circuit with a resistance of 12 ohms, inductive reactance of 9 ohms, and capacitive reactance of 3 ohms, what is the net admittance?" --> "This requires complex arithmetic using reciprocals; admittance is approximately 0.082 + j0.024 S (siemens).",
"If a pentagon has side lengths of 4 cm, 5 cm, 6 cm, 5 cm, and 4 cm, what is its perimeter?" --> "The perimeter is 24 cm.",
"A pair of headphones originally priced at $80 is on sale for 25% off. What is the sale price?" --> "The sale price is $60.",
"A cylindrical barrel has a diameter of 0.8 m and a height of 1.2 m. How many liters of water can it hold?" --> "The barrel can hold approximately 603.19 liters."
"If a rectangle has a diagonal of 25 cm and a width of 15 cm, what is its length?" --> "The length is 20 cm.",
"A truck travels a distance of 420 kilometers with 60 liters of diesel. How many kilometers per liter does it average?" --> "It averages 7 km/l.",
"If 4 moles of hydrogen react with 2 moles of oxygen, how many moles of water are produced?" --> "4 moles of water are produced.",
"In a transformer with a primary voltage of 220 V and a secondary voltage of 110 V, if the primary coil has 500 turns, how many turns does the secondary coil have?" --> "The secondary coil has 250 turns.",
"If a rhombus has a perimeter of 40 cm and one side is 10 cm, what is the length of the diagonals if one of the angles is 60 degrees?" --> "The diagonals are approximately 8.66 cm and 17.32 cm.",
"A pair of shoes originally priced at $120 is marked down by 15%. How much will it cost after the discount?" --> "The shoes will cost $102 after the discount.",
"A cuboidal box has dimensions of 10 cm by 15 cm by 20 cm. What is its volume in cubic centimeters?" --> "The volume is 3,000 cm^3."

A pump is required to lift 500 liters of water per minute from a well 10 meters deep and deliver it with a velocity of 10 m/s. Determine the power required (in watts), assuming no losses in the system.
How much potential energy is required to lift 500 kg of water from a depth of 10 meters?
What is the moment of inertia for a rectangular beam with a depth twice as big as it's depth?
